0	1	date
-111.9675	41.165551	04/27/2020
-111.94018	40.790309	04/27/2020
-111.97625	41.07221	04/28/2020
-111.97625	41.07221	05/01/2020
-111.79449	40.394235	04/15/2020
-111.94077	40.750628	04/10/2020
-112.06279	41.086069	04/10/2020
-111.85657	40.706246	04/13/2020
-112.08397	38.765929	04/13/2020
-111.92226	40.659514	05/03/2020
-111.80902	40.558748	05/01/2020
-111.85897	41.833371	05/28/2020
-111.72117	40.025007	05/03/2020
-111.71067	40.278086	04/07/2020
-111.85657	40.706246	05/03/2020
-111.78042	41.730637	04/10/2020
-111.98346	41.224911	04/15/2020
-111.68006	40.230954	04/27/2020
-111.68006	40.230954	04/14/2020
-112.038517	40.60639	04/08/2020
-111.7162	40.338552	04/10/2020
-111.95239	40.696596	04/11/2020
-112.04427	41.126476	08/04/2020
-111.8158	40.625621	05/03/2020
-113.55568	37.075039	04/15/2020
-111.71141	41.059771	04/10/2020
-112.5433	39.349079	04/13/2020
-111.89052	40.366648	05/03/2020
-111.97625	41.07221	04/06/2020
-111.6491	40.280454	04/13/2020
-111.93004	41.032893	04/14/2020
-112.5433	39.349079	05/03/2020
-111.97889	40.594222	04/28/2020
-111.88361	40.7547	04/15/2020
-111.90581	40.843012	04/12/2020
-111.87294	40.514843	04/13/2020
-111.49837	40.518775	04/14/2020
-111.92226	40.659514	04/28/2020
-111.97625	41.07221	04/27/2020
-111.33259	40.511413	04/27/2020
-111.9579	40.653086	04/10/2020
-111.95239	40.696596	04/29/2020
-111.85897	41.833371	04/16/2020
-111.86371	40.759246	04/15/2020
-111.8222	40.680064	04/15/2020
-111.90909	40.888711	04/09/2020
-112.6926	38.35906	04/13/2020
-111.83797	40.662797	04/27/2020
-113.5987	37.118352	04/06/2020
-111.97889	40.594222	04/28/2020
-111.73333	40.38584	04/28/2020
-111.88847	40.988347	05/03/2020
-111.70561	40.311854	07/27/2020
-112.01932	41.270319	05/01/2020
-113.5987	37.118352	04/09/2020
-111.95239	40.696596	05/08/2020
-111.88229	39.692424	04/10/2020
-111.95239	40.696596	04/15/2020
-111.80904	41.780998	04/28/2020
-111.97625	41.07221	04/06/2020
-113.5987	37.118352	04/10/2020
-111.53674	40.726899	05/01/2020
-111.20141	40.625883	05/06/2020
-111.86044	40.737132	04/30/2020
-113.55568	37.075039	04/15/2020
-111.88847	40.988347	04/15/2020
-111.5783	39.353561	04/05/2020
-111.80904	41.780998	04/16/2020
-111.505365	40.66797	04/13/2020
-111.83448	40.594948	04/06/2020
-111.96327	40.503746	04/14/2020
-111.86044	40.737132	04/14/2020
-111.96327	40.503746	05/01/2020
-111.67485	40.301444	04/15/2020
-111.78042	41.730637	04/15/2020
-111.83797	40.662797	04/27/2020
-111.85657	40.706246	05/06/2020
-111.79449	40.394235	04/13/2020
-111.80904	41.780998	04/04/2020
-113.5987	37.118352	04/14/2020
-112.29455	40.560528	05/01/2020
-111.79449	40.394235	04/15/2020
-111.8158	40.625621	06/18/2020
-111.88821	40.581595	04/13/2020
-111.88821	40.581595	05/03/2020
-111.70561	40.311854	04/15/2020
-111.88361	40.7547	04/11/2020
-111.76279	40.465161	04/27/2020
-112.11431	37.162224	07/09/2020
-111.80902	40.558748	04/27/2020
-111.96327	40.503746	04/15/2020
-111.93004	41.032893	04/15/2020
-112.05093	41.173226	04/09/2020
-111.97625	41.07221	04/13/2020
-111.96327	40.503746	04/29/2020
-111.67612	38.41744	04/13/2020
-111.88394	40.659997	04/10/2020
-111.88704	40.614997	04/11/2020
-111.99899	40.688246	04/06/2020
-112.83945	37.886163	04/14/2020
-111.80904	41.780998	04/28/2020
-111.88394	40.659997	05/03/2020
-111.96327	40.503746	04/27/2020
-111.90909	40.888711	05/03/2020
-111.65408	40.10637	04/07/2020
-111.204	40.80725	04/15/2020
-112.29455	40.560528	04/28/2020
-111.80904	41.780998	04/07/2020
-111.89052	40.366648	05/03/2020
-111.67485	40.301444	04/15/2020
-110.01689	40.328012	04/15/2020
-111.88821	40.581595	04/15/2020
-111.88938	40.718113	04/08/2020
-111.98346	41.224911	04/28/2020
-112.038517	40.60639	05/03/2020
-111.89052	40.366648	04/12/2020
-111.94018	40.790309	04/13/2020
-111.88938	40.718113	04/07/2020
-112.04427	41.126476	04/28/2020
-111.90581	40.843012	05/05/2020
-111.8158	40.625621	04/15/2020
-111.94077	40.750628	04/13/2020
-111.98346	41.224911	05/01/2020
-111.88938	40.718113	05/01/2020
-111.49362	40.648541	05/03/2020
-111.88394	40.659997	04/16/2020
-111.65408	40.10637	04/13/2020
-111.86371	40.759246	05/03/2020
-111.85657	40.706246	04/28/2020
-111.87682	40.927244	04/11/2020
-111.78042	41.730637	04/15/2020
-111.70561	40.311854	04/10/2020
-111.87682	40.927244	04/06/2020
-111.37752	40.88097	04/14/2020
-111.85657	40.706246	04/28/2020
-111.94077	40.750628	05/01/2020
-113.5987	37.118352	05/05/2020
-113.476182	37.309231	04/30/2020
-111.83448	40.594948	05/03/2020
-111.53674	40.726899	04/15/2020
-111.888121	40.892995	04/15/2020
-111.98346	41.224911	04/27/2020
-111.95239	40.696596	04/08/2020
-112.038517	40.60639	04/11/2020
-111.80904	41.780998	04/04/2020
-111.79973	40.705747	05/03/2020
-113.16557	37.75164	04/30/2020
-113.49671	37.144146	04/14/2020
-111.80904	41.780998	04/14/2020
-111.94077	40.750628	04/14/2020
-110.78678	39.578473	05/01/2020
-111.92226	40.659514	04/10/2020
-111.79973	40.705747	04/10/2020
-111.89052	40.366648	04/28/2020
-111.9675	41.165551	04/14/2020
-111.95239	40.696596	05/03/2020
-111.6491	40.280454	05/03/2020
-111.96088	40.561598	04/28/2020
-111.98346	41.224911	04/10/2020
-111.88394	40.659997	04/11/2020
-111.87491	40.777746	04/13/2020
-111.87294	40.514843	04/04/2020
-111.96088	40.561598	06/16/2020
-111.99899	40.688246	04/07/2020
-113.67582	37.164561	04/07/2020
-111.83797	40.662797	05/03/2020
-111.97889	40.594222	04/05/2020
-111.59577	40.168205	04/04/2020
-111.8158	40.625621	04/13/2020
-111.97566	40.627668	04/06/2020
-111.33259	40.511413	05/01/2020
-111.70561	40.311854	05/01/2020
-111.71067	40.278086	04/13/2020
-111.99899	40.688246	04/30/2020
-111.97889	40.594222	04/12/2020
-111.8222	40.680064	04/30/2020
-111.88938	40.718113	06/11/2020
-111.33259	40.511413	04/16/2020
-111.96366	41.314075	04/27/2020
-111.88704	40.614997	04/14/2020
-111.88394	40.659997	04/15/2020
-111.87294	40.514843	05/01/2020
-111.97625	41.07221	04/10/2020
-109.49392	38.572778	04/13/2020
-111.97625	41.07221	04/30/2020
-111.92226	40.659514	04/09/2020
-111.96366	41.314075	04/29/2020
-111.68006	40.230954	04/08/2020
-111.99899	40.688246	04/14/2020
-111.9675	41.165551	05/03/2020
-111.88394	40.659997	04/27/2020
-111.88821	40.581595	05/01/2020
-111.59577	40.168205	04/10/2020
-112.11431	37.162224	05/06/2020
-113.55568	37.075039	04/13/2020
-109.49392	38.572778	04/13/2020
-111.8158	40.625621	04/13/2020
-112.04004	40.694746	04/28/2020
-111.53674	40.726899	04/29/2020
-111.88938	40.718113	05/01/2020
-111.97566	40.627668	05/03/2020
-111.99591	40.650496	04/16/2020
-111.92226	40.659514	04/27/2020
-111.88704	40.614997	04/10/2020
-111.88938	40.718113	04/11/2020
-111.94077	40.750628	04/14/2020
-112.05538	41.368481	04/05/2020
-112.29455	40.560528	04/27/2020
-111.89875	40.754746	04/13/2020
-111.53674	40.726899	04/28/2020
-113.013922	37.186249	05/19/2020
-111.92226	40.659514	04/27/2020
-111.88361	40.7547	04/13/2020
-112.6926	38.35906	06/26/2020
-111.88361	40.7547	04/27/2020
-111.86044	40.737132	04/28/2020
-111.5783	39.353561	04/10/2020
-111.96088	40.561598	04/13/2020
-113.3695	37.656843	04/06/2020
-111.89052	40.366648	04/08/2020
-112.01932	41.270319	04/04/2020
-111.98346	41.224911	04/16/2020
-111.90581	40.843012	04/27/2020
-111.92835	38.917381	04/09/2020
-111.35283	40.732935	05/04/2020
-111.87294	40.514843	04/14/2020
-111.88704	40.614997	05/06/2020
-111.88361	40.7547	04/27/2020
-111.96327	40.503746	04/28/2020
-111.87294	40.514843	05/03/2020
-111.6491	40.280454	04/27/2020
-111.87491	40.777746	04/28/2020
-109.49392	38.572778	04/05/2020
-111.6491	40.280454	04/13/2020
-111.49362	40.648541	04/15/2020
-111.92226	40.659514	04/16/2020
-109.54223	40.514262	04/13/2020
-111.8158	40.625621	05/03/2020
-111.88938	40.718113	08/07/2020
-111.5783	39.353561	04/13/2020
-111.68006	40.230954	04/06/2020
-111.87294	40.514843	04/14/2020
-111.87249	40.876312	04/10/2020
-111.98346	41.224911	04/10/2020
-111.53674	40.726899	05/03/2020
-111.88821	40.581595	04/27/2020
-111.83797	40.662797	04/28/2020
-111.33259	40.511413	04/15/2020
-111.88938	40.718113	04/28/2020
-111.59577	40.168205	04/04/2020
-111.87249	40.876312	05/03/2020
-111.95239	40.696596	04/29/2020
-113.55568	37.075039	05/04/2020
-111.87249	40.876312	04/29/2020
-111.88704	40.614997	05/07/2020
-111.67485	40.301444	04/14/2020
-111.86371	40.759246	04/30/2020
-111.72117	40.025007	04/10/2020
-113.24183	37.130927	04/06/2020
-111.93004	41.032893	04/07/2020
-111.9675	41.165551	04/15/2020
-111.70561	40.311854	04/08/2020
-111.94077	40.750628	04/16/2020
-111.89052	40.366648	05/27/2020
-111.94077	40.750628	04/07/2020
-111.87294	40.514843	05/03/2020
-112.01932	41.270319	04/15/2020
-111.85657	40.706246	05/03/2020
-111.88938	40.718113	04/27/2020
-111.87682	40.927244	04/27/2020
-111.80904	41.780998	04/14/2020
-111.70561	40.311854	04/14/2020
-111.93004	41.032893	04/15/2020
-111.87249	40.876312	04/27/2020
-111.8158	40.625621	05/01/2020
-111.89052	40.366648	04/06/2020
-111.88394	40.659997	04/14/2020
-112.01932	41.270319	04/13/2020
